x,y,depth,u,A,SG,SGI,SedRate
4.206527e+05,3.853909e+06,1.800000e+01,2.912768e-02,9.000000e+04,1.544922e-01,1.674713e-09,0.000000e+00
4.137477e+05,3.850269e+06,4.505000e+00,7.589272e-02,9.000000e+04,2.369136e-01,2.568170e-09,0.000000e+00
4.140075e+05,3.850419e+06,8.351000e+00,2.438911e-02,9.000000e+04,3.976955e-01,4.311062e-09,0.000000e+00
4.142673e+05,3.850569e+06,1.374400e+01,4.746361e-02,9.000000e+04,1.241684e-01,1.345999e-09,-1.000000e-03
4.145271e+05,3.850719e+06,2.169300e+01,6.437641e-02,9.000000e+04,5.800142e-02,6.287417e-10,-2.000000e-03
4.147869e+05,3.850869e+06,2.173100e+01,1.977097e-01,9.003000e+04,1.885915e-02,2.043671e-10,0.000000e+00
4.150468e+05,3.851019e+06,2.156800e+01,1.848855e-01,9.000000e+04,2.031292e-02,2.201942e-10,0.000000e+00
4.153066e+05,3.851169e+06,2.239900e+01,1.575031e-01,9.000000e+04,2.295976e-02,2.488863e-10,0.000000e+00
4.155664e+05,3.851319e+06,2.218800e+01,1.403233e-01,9.000000e+04,2.601580e-02,2.820141e-10,0.000000e+00
4.158262e+05,3.851469e+06,2.243800e+01,1.322984e-01,9.000000e+04,2.728641e-02,2.957876e-10,0.000000e+00
4.160860e+05,3.851619e+06,2.259600e+01,1.284389e-01,9.000000e+04,2.790980e-02,3.025453e-10,0.000000e+00
4.163458e+05,3.851769e+06,2.252200e+01,1.263137e-01,9.000000e+04,2.847264e-02,3.086465e-10,0.000000e+00
4.166056e+05,3.851919e+06,2.247600e+01,1.279926e-01,9.000000e+04,2.815665e-02,3.052212e-10,0.000000e+00
4.168654e+05,3.852069e+06,2.256700e+01,1.314353e-01,9.000000e+04,2.730858e-02,2.960280e-10,0.000000e+00
4.171252e+05,3.852219e+06,2.252300e+01,1.390972e-01,9.000000e+04,2.585476e-02,2.802683e-10,0.000000e+00
4.173850e+05,3.852369e+06,2.254300e+01,1.465124e-01,9.000000e+04,2.452444e-02,2.658476e-10,0.000000e+00
4.176448e+05,3.852519e+06,2.266500e+01,1.504219e-01,9.000000e+04,2.375845e-02,2.575442e-10,0.000000e+00
4.179046e+05,3.852669e+06,2.268000e+01,1.515299e-01,9.000000e+04,2.356913e-02,2.554920e-10,0.000000e+00
4.181644e+05,3.852819e+06,2.267500e+01,1.448234e-01,9.003000e+04,2.467424e-02,2.673823e-10,0.000000e+00
4.184243e+05,3.852969e+06,2.291400e+01,1.316857e-01,9.000000e+04,2.684388e-02,2.909906e-10,0.000000e+00
4.186841e+05,3.853119e+06,2.302300e+01,1.165539e-01,9.000000e+04,3.018536e-02,3.272126e-10,0.000000e+00
4.189439e+05,3.853269e+06,2.316000e+01,1.063775e-01,9.000000e+04,3.287735e-02,3.563941e-10,0.000000e+00
4.192037e+05,3.853419e+06,2.324400e+01,9.681746e-02,9.000000e+04,3.599320e-02,3.901702e-10,0.000000e+00
4.194635e+05,3.853569e+06,2.343700e+01,9.730288e-02,9.000000e+04,3.551872e-02,3.850268e-10,0.000000e+00
4.197233e+05,3.853719e+06,2.140700e+01,9.191338e-02,9.000000e+04,4.116712e-02,4.462560e-10,0.000000e+00
4.199831e+05,3.853869e+06,2.054700e+01,3.334596e-01,9.000000e+04,1.182206e-02,1.281525e-10,0.000000e+00
4.202429e+05,3.854019e+06,1.269500e+01,1.201333e-01,9.000000e+04,5.311153e-02,5.757348e-10,0.000000e+00
4.218018e+05,3.854919e+06,1.982200e+01,3.652789e-01,9.000000e+04,1.118698e-02,1.212681e-10,0.000000e+00
4.220616e+05,3.855069e+06,2.558900e+01,2.849923e-01,9.000000e+04,1.110705e-02,1.204016e-10,0.000000e+00
4.223214e+05,3.855219e+06,2.373900e+01,1.729762e-01,9.000000e+04,1.972587e-02,2.138306e-10,0.000000e+00
4.225812e+05,3.855369e+06,2.333900e+01,1.110868e-01,9.000000e+04,3.124211e-02,3.386678e-10,0.000000e+00
4.228371e+05,3.855517e+06,2.000000e+01,1.540622e-01,8.735911e+04,2.551671e-02,2.849657e-10,0.000000e+00
